uid,name,message
810201475,khousravi,New Course Offering
0,UT_account,New Post
810201475,khousravi,New Post
810201475,khousravi,New Form
1,Advanced Programming,New Course Post
810101551,parisa,Get Course
810101551,parisa,Delete Course
810101551,parisa,Get Course
810101551,parisa,Delete Course
810101551,parisa,Get Course
810101551,parisa,Delete Course
810101551,parisa,Get Course
810201475,khousravi,New Course Offering
810101551,parisa,Get Course
810101551,parisa,Delete Course
810101551,parisa,Get Course
810101551,parisa,Delete Course
